Workspace,Store,Layer,Description,URI,Default Style,Observable Concept,Observation Concept,Units,Native SRS,Declared SRS,PublicPrivate,CommercialUse,Comments,Contact
,,transmission_lines_us,Transmission Lines TIGER Line Files,postgis:/raid/geodata/data/united_states/transmission/US_Transmission_Final.shp,line,infrastructure:TransmissionLine,observation:Categorization,,EPSG:4326,EPSG:4326,Public,Yes,TIGER Line Files,
,,watersheds_us,HUC watersheds,postgis:/raid/geodata/data/united_states/US_HUCs/huc250k_Project.shp,polygon,geofeatures:watershed,observation:Categorization,,EPSG:4326,EPSG:4326,Public,Yes,USGS product,
california,,,,,,,,,,,,,,
,facilities_ca,facilities_ca,"US EPA facilities, sites, and places subject to environmental regulation or of environmental interest.",file:/raid/geodata/coverages/california/facilities/facilities.tif,raster,,measurement:BinaryCoding,,EPSG:4326,EPSG:4326,Public,Yes,EPA product; public data released under FOIA,
,fire_threat_ca,fire_threat_ca,Fire threat data from California Fire and Resource Assessment Program,file:/raid/geodata/coverages/california/fire_threat/Reclass_fthr1.tif,raster,habitat:FireThreat,measurement:Ranking,,EPSG:4326,EPSG:4326,Public,Yes,"""There are no restrictions on distribution of the data by users""",
,floodplain_width_ca,floodplain_width_ca,FEMA Q3 floodplain width,file:/raid/geodata/coverages/california/floodplain_width/floodplain_width.tif,raster,habitat:FloodplainWidth,measurement:Measurement,m,EPSG:4269,EPSG:4269,Public,Yes,FEMA data,
,soil_pH_0_30_ca,soil_pH_0_30_ca,"SSURGO soil pH data, 0-30 cm depth ",file:/raid/geodata/coverages/california/ssurgo_soil_oc/SoilpH_0_30.tif,raster,habitat:SoilPhShallow,measurement:Ranking,,EPSG:26911,EPSG:26911,Public,Yes,USDA-NRCS product,
,soil_pH_30_100_ca,soil_pH_30_100_ca,"SSURGO soil pH data, 30-100 cm depth ",file:/raid/geodata/coverages/california/ssurgo_soil_oc/SoilpH_30_100.tif,raster,habitat:SoilPhDeep,measurement:Ranking,,EPSG:26911,EPSG:26911,Public,Yes,USDA-NRCS product,
,vegetation_type_ca,vegetation_type_ca,USDA Forest Service Pacific Southwest Region Remote Sensing Lab,file:/raid/geodata/coverages/california/veg_type_socal/VegTypeSoCal10.tif,raster,california:VegTypeSoCal,measurement:NumericCoding,,EPSG:4326,EPSG:4326,Public,Yes,"""Information presented on the Forest Service website is considered public and may be distributed or copied""",
,california,,PostGIS database: california,postgis:california,,,,,,,,,,
,,cveg97_2_30,Data from CVEG-FRAP,postgis:/raid/geodata/data/california/cveg/cveg97_2_30.shp,polygon,,,,EPSG:3309,EPSG:3309,Public,Yes,"""There are no restrictions on distribution of the data by users""",
,,dam_storage_ca,"National Atlas of the United States, Major Dams of the United States",postgis:/raid/geodata/data/california/reservoirs/so_cal_reservoirs.shp,polygon,floodService:DamStorage,measurement:BinaryCoding,,EPSG:26911,EPSG:26911,Public,Yes,Federal agency data,
,,floodplain_ca,FEMA 100-year and 500-year floodplains,postgis:/raid/geodata/data/california/floodzn/floodzn.shp,polygon,geofeatures:Floodplain,observation:Categorization,,EPSG:4269,EPSG:4269,Public,Yes,FEMA data,
,,hydrography_ca,"Caltrans, Teale Data Center",postgis:/raid/geodata/data/california/hydrography/hydro.shp,line,geofeatures:River,measurement:BinaryCoding,,EPSG:4269,EPSG:4269,Public,Yes,"Data are ""in the public domain""",
,,infiltration_wch,"Mean annual infiltration, 1951-2002, modeled using Los Angeles Basin Groundwater Augmentation Model Version 4.1.10",postgis:/raid/geodata/data/california/GWAM_model/new_4Aug2010/Mark_SA_infil.shp,polygon,habitat:AnnualInfiltration,measurement:Measurement,mm,EPSG:26911,EPSG:26911,Public,Yes,Per Mark Casias' email 1/22/12,
,,percolation_wch,"Mean annual deep percolation, 1951-2002, modeled using Los Angeles Basin Groundwater Augmentation Model Version 4.1.10",postgis:/raid/geodata/data/california/GWAM_model/new_4Aug2010/Mark_SA_deepperc.shp,polygon,habitat:AnnualRecharge,measurement:Measurement,mm,EPSG:26911,EPSG:26911,Public,Yes,Per Mark Casias' email 1/22/12,
,,precip_apr_ca,,postgis:/raid/geodata/data/california/monthly_precip_ca/precipapr_a_ca.shp,polygon,habitat:AprilPrecipitation,measurement:Measurement,,EPSG:4269,EPSG:4269,Public,No,"""data on this web site may be freely reproduced and distributed for non-commercial purposes"" (http://www.prism.oregonstate.edu/terms.phtml)",
,,precip_aug_ca,,postgis:/raid/geodata/data/california/monthly_precip_ca/precipaug_a_ca.shp,polygon,habitat:AugustPrecipitation,measurement:Measurement,,EPSG:4269,EPSG:4269,Public,No,"""data on this web site may be freely reproduced and distributed for non-commercial purposes"" (http://www.prism.oregonstate.edu/terms.phtml)",
,,precip_dec_ca,,postgis:/raid/geodata/data/california/monthly_precip_ca/precipdec_a_ca.shp,polygon,habitat:DecemberPrecipitation,measurement:Measurement,,EPSG:4269,EPSG:4269,Public,No,"""data on this web site may be freely reproduced and distributed for non-commercial purposes"" (http://www.prism.oregonstate.edu/terms.phtml)",
,,precip_feb_ca,,postgis:/raid/geodata/data/california/monthly_precip_ca/precipfeb_a_ca.shp,polygon,habitat:FebruaryPrecipitation,measurement:Measurement,,EPSG:4269,EPSG:4269,Public,No,"""data on this web site may be freely reproduced and distributed for non-commercial purposes"" (http://www.prism.oregonstate.edu/terms.phtml)",
,,precip_jan_ca,,postgis:/raid/geodata/data/california/monthly_precip_ca/precipjan_a_ca.shp,polygon,habitat:JanuaryPrecipitation,measurement:Measurement,,EPSG:4269,EPSG:4269,Public,No,"""data on this web site may be freely reproduced and distributed for non-commercial purposes"" (http://www.prism.oregonstate.edu/terms.phtml)",
,,precip_jul_ca,,postgis:/raid/geodata/data/california/monthly_precip_ca/precipjul_a_ca.shp,polygon,habitat:JulyPrecipitation,measurement:Measurement,,EPSG:4269,EPSG:4269,Public,No,"""data on this web site may be freely reproduced and distributed for non-commercial purposes"" (http://www.prism.oregonstate.edu/terms.phtml)",
,,precip_jun_ca,,postgis:/raid/geodata/data/california/monthly_precip_ca/precipjun_a_ca.shp,polygon,habitat:JunePrecipitation,measurement:Measurement,,EPSG:4269,EPSG:4269,Public,No,"""data on this web site may be freely reproduced and distributed for non-commercial purposes"" (http://www.prism.oregonstate.edu/terms.phtml)",
,,precip_mar_ca,,postgis:/raid/geodata/data/california/monthly_precip_ca/precipmar_a_ca.shp,polygon,habitat:MarchPrecipitation,measurement:Measurement,,EPSG:4269,EPSG:4269,Public,No,"""data on this web site may be freely reproduced and distributed for non-commercial purposes"" (http://www.prism.oregonstate.edu/terms.phtml)",
,,precip_may_ca,,postgis:/raid/geodata/data/california/monthly_precip_ca/precipmay_a_ca.shp,polygon,habitat:MayPrecipitation,measurement:Measurement,,EPSG:4269,EPSG:4269,Public,No,"""data on this web site may be freely reproduced and distributed for non-commercial purposes"" (http://www.prism.oregonstate.edu/terms.phtml)",
,,precip_nov_ca,,postgis:/raid/geodata/data/california/monthly_precip_ca/precipnov_a_ca.shp,polygon,habitat:NovemberPrecipitation,measurement:Measurement,,EPSG:4269,EPSG:4269,Public,No,"""data on this web site may be freely reproduced and distributed for non-commercial purposes"" (http://www.prism.oregonstate.edu/terms.phtml)",
,,precip_oct_ca,,postgis:/raid/geodata/data/california/monthly_precip_ca/precipoct_a_ca.shp,polygon,habitat:OctoberPrecipitation,measurement:Measurement,,EPSG:4269,EPSG:4269,Public,No,"""data on this web site may be freely reproduced and distributed for non-commercial purposes"" (http://www.prism.oregonstate.edu/terms.phtml)",
,,precip_sep_ca,,postgis:/raid/geodata/data/california/monthly_precip_ca/precipsep_a_ca.shp,polygon,habitat:SeptemberPrecipitation,measurement:Measurement,,EPSG:4269,EPSG:4269,Public,No,"""data on this web site may be freely reproduced and distributed for non-commercial purposes"" (http://www.prism.oregonstate.edu/terms.phtml)",
,,projveg_ca_wch,,postgis:/raid/geodata/data/california/project_veg/projveg.shp,polygon,,,,EPSG:2230,EPSG:2230,Public,Uncertain,Per Mark Casias' email 1/22/12,
,,runoff_wch,"Mean annual runoff, 1951-2002, modeled using Los Angeles Basin Groundwater Augmentation Model Version 4.1.10",postgis:/raid/geodata/data/california/GWAM_model/new_4Aug2010/Mark_SA_runoff.shp,polygon,habitat:AnnualRunoff,measurement:Measurement,mm,EPSG:26911,EPSG:26911,Public,Yes,Per Mark Casias' email 1/22/12,
colorado,,,,,,,,,,,,,,
,housing_presence_grand_co,housing_presence_grand_co,"Residential, improved housing , Grand County parcel data",file:/raid/geodata/coverages/colorado/housing/GC_Housing.tif,raster,aestheticService:PresenceOfHousing,measurement:BinaryCoding,,EPSG:26913,EPSG:26913,Private,No,Parcel data are unlikely to be redistributable,
,housing_value_grand_co,housing_value_grand_co,"Classified housing value (improved value + land value), Grand County parcel data",file:/raid/geodata/coverages/colorado/housing/GC_HousingValue.tif,raster,aestheticService:HousingValue,measurement:Ranking,,EPSG:26913,EPSG:26913,Private,No,Parcel data are unlikely to be redistributable,
,hydrofracking_water_use_co,hydrofracking_water_use_co,Hydro fracking water use in division 1 of Colorado,file:/raid/geodata/coverages/colorado/water_use/fracking.tif,raster,waterSupplyService:OilAndGasSurfaceWaterUse,measurement:Measurement,mm,EPSG:26913,EPSG:26913,Public,Yes,Generated by DU students,
,incoming_water_transfer_co2,incoming_water_transfer_co2,Transbasin Diversions of Water Colorado,file:/raid/geodata/coverages/colorado/water_transfers/Incoming_Water.tif,raster,waterSupplyService:IncomingWaterTransfer,measurement:Measurement,mm,EPSG:4326,EPSG:4326,Public,Yes,SWSI data,
,interstate_compact_actual,interstate_compact_actual,Interstate Compacts for Surface Water,file:/raid/geodata/coverages/colorado/interstate_compacts/Int_Comp_AcFt.tif,raster,waterSupplyService:InterstateCompactActual,measurement:Measurement,mm,EPSG:4326,EPSG:4326,Public,Yes,Generated from legal compact documents,
,interstate_compact_percent,interstate_compact_percent,Interstate Compacts for Surface Water,file:/raid/geodata/coverages/colorado/interstate_compacts/Int_Comp_Prcnt.tif,raster,waterSupplyService:InterstateCompactPercent,measurement:Ranking,double_check,EPSG:4326,EPSG:4326,Public,Yes,Generated from legal compact documents,
,interstate_compact_structures,interstate_compact_structures,Interstate Compacts for Surface Water,file:/raid/geodata/coverages/colorado/interstate_compacts/Int_Comp_Strctr.tif,raster,waterSupplyService:InterstateCompactStructures,measurement:Measurement,mm,EPSG:4326,EPSG:4326,Public,Yes,Generated from legal compact documents,
,irrigation_water_use_co2,irrigation_water_use_co2,CDSS Irrigated Parcel Water Use,file:/raid/geodata/coverages/colorado/water_use/Irg_Parc_Crp.tif,raster,waterSupplyService:AgriculturalSurfaceWaterUse,measurement:Measurement,mm,EPSG:4326,EPSG:4326,Public,Yes,CDSS crop water use table CSU,
,municipal_water_use_co2,municipal_water_use_co2,Water Use by Total Population - Block Groups,file:/raid/geodata/coverages/colorado/water_use/CO_07_Census.tif,raster,waterSupplyService:ResidentialSurfaceWaterUse,measurement:Measurement,mm,EPSG:4326,EPSG:4326,Public,Yes,Block Groups per capita water use,
,outgoing_water_transfer_co,outgoing_water_transfer_co,Transbasin Diversions of Water Colorado,file:/raid/geodata/coverages/colorado/water_transfers/Outgoing_Water.tif,raster,waterSupplyService:OutgoingWaterTransfer,measurement:Measurement,mm,EPSG:4326,EPSG:4326,Public,Yes,SWSI data,
,psi_recreation_sites,psi_recreation_sites,Pike San Isabel Recreational Sites,file:/raid/geodata/coverages/colorado/recreation_sites/Rec_Sites_Fin_2.tif,raster,recreationService:RecreationSite,measurement:BinaryCoding,,EPSG:4326,EPSG:4326,Public,Yes,Forest Service Product,
,RUSLE_cover_management_co,RUSLE_cover_management_co,RUSLE modeling for CO and NM as part of USGS' Effects of Energy Development in the Rocky Mountain Area (EERMA) Project,file:/raid/geodata/coverages/colorado/rusle/CO_NM_RUSLE_C.tif,raster,soilRetentionService:CoverManagement,measurement:Ranking,,EPSG:4326,EPSG:4326,Uncertain,Uncertain,Emailed Josh Linard 1/21/12,
,RUSLE_rainfall_runoff_index_co,RUSLE_rainfall_runoff_index_co,RUSLE modeling for CO and NM as part of USGS' Effects of Energy Development in the Rocky Mountain Area (EERMA) Project,file:/raid/geodata/coverages/colorado/rusle/CO_NM_RUSLE_R.tif,raster,soilRetentionService:RainfallRunoffErosivityIndex,measurement:Ranking,,EPSG:4326,EPSG:4326,Uncertain,Uncertain,Emailed Josh Linard 1/21/12,
,RUSLE_slope_steepness_co,RUSLE_slope_steepness_co,RUSLE modeling for CO and NM as part of USGS' Effects of Energy Development in the Rocky Mountain Area (EERMA) Project,file:/raid/geodata/coverages/colorado/rusle/CO_NM_RUSLE_LS.tif,raster,soilRetentionService:SlopeSteepnessAndLengthFactor,measurement:Ranking,,EPSG:4326,EPSG:4326,Uncertain,Uncertain,Emailed Josh Linard 1/21/12,
,RUSLE_soil_erodibility_co,RUSLE_soil_erodibility_co,RUSLE modeling for CO and NM as part of USGS' Effects of Energy Development in the Rocky Mountain Area (EERMA) Project,file:/raid/geodata/coverages/colorado/rusle/CO_NM_RUSLE_K.tif,raster,habitat:SoilErodibility,measurement:Ranking,,EPSG:4326,EPSG:4326,Uncertain,Uncertain,Emailed Josh Linard 1/21/12,
,stream_gradient_co,stream_gradient_co,Stream_slope raster calculation,file:/raid/geodata/coverages/colorado/stream_gradient/strm_grad_co.tif,raster,habitat:StreamGradient,measurement:Measurement,°,EPSG:26913,EPSG:26913,Public,Yes,Derived 90 meter smoothed slope and streams,
,colorado,,PostGIS database: colorado,postgis:colorado,,,measurement:NumericCoding,,,,,,,
,,hydrography_co,Colorado Department of Transportation streams data,postgis:/raid/geodata/data/colorado/hydrography/STREAMS.shp,line,geofeatures:River,measurement:BinaryCoding,,EPSG:26913,EPSG:26913,Public,Yes,State agency data,
,,mpb_damage_co,"MPB damage ordered by damage type, severity, pattern, no. of trees/acre, no. of trees affected/killed, damage-causing agent, host tree species, forest type",postgis:/raid/geodata/data/colorado/mpb_polys/r210_dmg2.shp,polygon,colorado:MountainPineBeetleDamageClass,measurement:Ranking,,EPSG:26913,EPSG:26913,Public,Yes,USDA-Forest Service data,
,,psi_recreation_roads,Pike San Isabel Recreational Roads,postgis:/raid/geodata/data/colorado/roads/S_R02_PSICC_Events_Road_linear_CURRENT.shp,line,infrastructure:Road,measurement:BinaryCoding,,EPSG:26913,EPSG:26913,Public,Yes,Forest Service Product,
,,psi_recreation_trails,Pike San Isabel Recreational Trails,postgis:/raid/geodata/data/colorado/trails/S_R02_PSICC_Events_Trail_linear_CURRENT.shp,line,infrastructure:Path,measurement:BinaryCoding,,EPSG:26913,EPSG:26913,Public,Yes,Forest Service Product,
,,reservoirs_co,Surface water polygons for Colorado,postgis:/raid/geodata/data/colorado/hydrography/lak3co.shp,polygon,geofeatures:Reservoir,measurement:BinaryCoding,,EPSG:26913,EPSG:26913,Public,Yes,State agency data,
,,soil_orders3_co,Soil types in Colorado,postgis:/raid/geodata/data/colorado/soil_orders/CO_soil_taxonomy2.shp,polygon,colorado:CarbonSoilType,observation:Categorization,,EPSG:4269,EPSG:4269,Public,Yes,STATSGO Soil Data,
puget,,,,,, ,,,,,,,,
,coastal_wetlands_puget,coastal_wetlands_puget,Derived from NLDC 2001,file:/raid/geodata/coverages/puget/coastalWetlands/CoastalWetlands.tif,raster,soilRetentionService:CoastalWetlands,measurement:BinaryCoding,,EPSG:4326,EPSG:4326,Public,Yes,Derived from USGS product,
,depth_to_water_puget,depth_to_water_puget,SSURGO depth to water,file:/raid/geodata/coverages/puget/ssurgo_soils/DepthToWater_puget.tif,raster,waterSupplyService:DepthToWaterTable,measurement:Measurement,cm,EPSG:26910,EPSG:26910,Public,Yes,USDA-NRCS product,
,detention_basins_puget,detention_basins_puget,County detention basin data,file:/raid/geodata/coverages/puget/detention_basins/puget_detention3.tif,raster,infrastructure:DetentionBasin,measurement:Ranking,,EPSG:4326,EPSG:4326,Private,No,,
,fire_frequency_puget,fire_freq_puget,"Derived from Washington DNR and Oregon Department of Forestry wildfire point data, 1970-2007",file:/raid/geodata/coverages/puget/fire/Fire_WAOR.tif,raster,habitat:FireFrequency,measurement:Measurement,/km^2,EPSG:26910,EPSG:26910,Public,Yes,State agency data,
,floodplain_veg_cover_puget,floodplain_veg_puget,Derived from NLCD 2001 tree canopy and FEMA Q3 flood data,file:/raid/geodata/coverages/puget/floodplain_vegetation_cover/FloodplainCanopy.tif,raster,habitat:PercentFloodplainVegetationCover,measurement:Ranking,,EPSG:4326,EPSG:4326,Public,Yes,"Derived from USGS, FEMA data",
,floodplain_width_puget,floodplain_width_puget,FEMA Q3 floodplain width,file:/raid/geodata/coverages/puget/floodplain_width/FloodplainWidth.tif,raster,habitat:FloodplainWidth,measurement:Measurement,m,EPSG:4267,EPSG:4267,Public,Yes,FEMA data,
,hardwood_softwood,hardwood_softwood,Interagency Vegetation Mapping Project,file:/raid/geodata/coverages/puget/hardwood_softwood/HWSW_WAOR.tif,raster,habitat:HardwoodSoftwoodRatio,measurement:Ranking,,EPSG:26710,EPSG:26710,Public,Yes,BLM data,
,housing_value_puget3,housing_value_puget3,Rasterized housing values for 6 Puget Sound counties with available information,file:/raid/geodata/coverages/puget/parcels/value_Clip.tif,raster,aestheticService:HousingValue,measurement:Ranking,,EPSG:4326,EPSG:4326,Private,No,Parcel data are unlikely to be redistributable,
,housing_w_views_puget,housing_views_puget,"Rasterized housing with views for King County, WA only",file:/raid/geodata/coverages/puget/parcels/views_king2.tif,raster,aestheticService:HomeownerViewUse,measurement:BinaryCoding,,EPSG:4326,EPSG:4326,Private,No,Parcel data are unlikely to be redistributable,
,hydrography_puget,hydrography_puget,Washington DNR hydrography data,file:/raid/geodata/coverages/puget/streams/PugetStreams2.tif,raster,geofeatures:River,measurement:BinaryCoding,,EPSG:4326,EPSG:4326,Public,Yes,State agency data,
,hydrography_puget_hi_res,hydrography_puget_hi_res,streamnet.org hydrography data,file:/raid/geodata/coverages/puget/streams/streams_hi_res.tif,raster,geofeatures:River,measurement:BinaryCoding,,EPSG:4326,EPSG:4326,Public,Yes,Bonneville Power Administration data,
,hydrography_puget_mid_res,hydrography_puget_mid_res,Washington DOT hydrography data,file:/raid/geodata/coverages/puget/streams/streams_mid_res.tif,raster,geofeatures:River,measurement:BinaryCoding,,EPSG:4326,EPSG:4326,Public,Yes,State agency data,
,impervious_puget_2000_scenario,impervious_puget_2000_scenario,"Impervious surface, year 2000, modeled using ENVISION (Bolte et al. 2010)",file:/raid/geodata/coverages/puget/impervious/00imperv.tif,raster,puget:ENVISIONUrbanGrowthImperviousBase,measurement:Ranking,,EPSG:26910,EPSG:26910,Public,Yes,OK per John Bolte (1/22/12),
,impervious_puget_2060_managed_growth,impervious_puget_2060_managed_growth,"Impervious surface, year 2060 managed growth, modeled using ENVISION (Bolte et al. 2010)",file:/raid/geodata/coverages/puget/impervious/c60imperv.tif,raster,puget:ENVISIONUrbanGrowthImperviousConstrained2060,measurement:Ranking,,EPSG:26910,EPSG:26910,Public,Yes,OK per John Bolte (1/22/12),
,impervious_puget_2060_status_quo,impervious_puget_2060_status_quo,"Impervious surface, year 2060 status quo, modeled using ENVISION (Bolte et al. 2010)",file:/raid/geodata/coverages/puget/impervious/p60imperv.tif,raster,puget:ENVISIONUrbanGrowthImperviousPlans2060,measurement:Ranking,,EPSG:26910,EPSG:26910,Public,Yes,OK per John Bolte (1/22/12),
,impervious_puget_2060_unmanaged_growth,impervious_puget_2060_unmanaged_growth,"Impervious surface, year 2060 unmanaged growth, modeled using ENVISION (Bolte et al. 2010)",file:/raid/geodata/coverages/puget/impervious/o60imperv.tif,raster,puget:ENVISIONUrbanGrowthImperviousOpen2060,measurement:Ranking,,EPSG:26910,EPSG:26910,Public,Yes,OK per John Bolte (1/22/12),
,lulc_puget_2000_scenario,lulc_puget_2000_scenario,"LULC, year 2000, modeled using ENVISION (Bolte et al. 2010)",file:/raid/geodata/coverages/puget/ENVISION_scenarios_lulc/LULC00.tif,raster,puget:ENVISIONUrbanGrowthLULCBase,measurement:NumericCoding,,EPSG:26910,EPSG:26910,Public,Yes,OK per John Bolte (1/22/12),
,lulc_puget_2060_managed_growth,lulc_puget_2060_managed_growth,"LULC, year 2060 managed growth, modeled using ENVISION (Bolte et al. 2010)",file:/raid/geodata/coverages/puget/ENVISION_scenarios_lulc/CLULC60.tif,raster,puget:ENVISIONUrbanGrowthLULCConstrained2060,measurement:NumericCoding,,EPSG:26910,EPSG:26910,Public,Yes,OK per John Bolte (1/22/12),
,lulc_puget_2060_status_quo,lulc_puget_2060_status_quo,"LULC, year 2060 status quo, modeled using ENVISION (Bolte et al. 2010)",file:/raid/geodata/coverages/puget/ENVISION_scenarios_lulc/PLULC60.tif,raster,puget:ENVISIONUrbanGrowthLULCPlans2060,measurement:NumericCoding,,EPSG:26910,EPSG:26910,Public,Yes,OK per John Bolte (1/22/12),
,lulc_puget_2060_unmanaged_growth,lulc_puget_2060_unmanaged_growth,"LULC, year 2060 unmanaged growth, modeled using ENVISION (Bolte et al. 2010)",file:/raid/geodata/coverages/puget/ENVISION_scenarios_lulc/OLULC60.tif,raster,puget:ENVISIONUrbanGrowthLULCOpen2060,measurement:NumericCoding,,EPSG:26910,EPSG:26910,Public,Yes,OK per John Bolte (1/22/12),
#,obstructions_puget,obstructions_puget,Top surface DEM (includes trees and buildings),file:/raid/geodata/coverages/puget/obstructions/topsurf.tif,raster,aestheticService:Obstructions,measurement:Measurement,ft,UNKNOWN,EPSG:102749,Public,Yes,Public domain,
,open_space_area_puget,open_space_area_puget,Areas of NLCD open space calculated and rasterized,file:/raid/geodata/coverages/puget/open_space_area/os_area2.tif,raster,aestheticService:OpenSpaceArea,measurement:Measurement,ha,EPSG:26910,EPSG:26910,Public,Yes,Generated by the ARIES Consortium,
,parcels_puget2,parcels_puget2,Rasterized housing locations for 8 Puget Sound counties with available information,file:/raid/geodata/coverages/puget/parcels/HousingPres3.tif,raster,aestheticService:PresenceOfHousingRank,measurement:Ranking,,EPSG:4326,EPSG:4326,Private,No,Parcel data are unlikely to be redistributable,
,precip_dec_puget,precip_dec_puget,"USDA-NRCS, derived from PRISM climate data",file:/raid/geodata/coverages/puget/precip/DecPrecip.tif,raster,habitat:DecemberPrecipitation,measurement:Measurement,mm,EPSG:4269,EPSG:4269,Public,No,"""data on this web site may be freely reproduced and distributed for non-commercial purposes"" (http://www.prism.oregonstate.edu/terms.phtml)",
,precip_jan_puget,precip_jan_puget,"USDA-NRCS, derived from PRISM climate data",file:/raid/geodata/coverages/puget/precip/JanPrecip.tif,raster,habitat:JanuaryPrecipitation,measurement:Measurement,mm,EPSG:4269,EPSG:4269,Public,No,"""data on this web site may be freely reproduced and distributed for non-commercial purposes"" (http://www.prism.oregonstate.edu/terms.phtml)",
#,rain_on_snow,rain_on_snow,Washington DNR rain on snow data,file:/raid/geodata/coverages/puget/rain_on_snow/ROS.tif,raster,puget:SnowPrecipitationCategory,observation:Categorization,,UNKNOWN,EPSG:2927,Public,Yes,State agency data,
,slope_stability_puget3,slope_stability_puget3,Washington DNR slope stability data,file:/raid/geodata/coverages/puget/slope_stability/slope_stability.tif,raster,habitat:SlopeStability,measurement:Ranking,,EPSG:4326,EPSG:4326,Public,Yes,State agency data,
,soil_depth_puget,soil_depth_puget,SSURGO soil depth data,file:/raid/geodata/coverages/puget/ssurgo_soils/SoilDepth.tif,raster,habitat:SoilDepth,measurement:Measurement,cm,EPSG:26910,EPSG:26910,Public,Yes,USDA-NRCS product,
,soil_pH__0_30_puget,soil_pH_0_30_puget,"SSURGO soil pH data, 0-30 cm depth ",file:/raid/geodata/coverages/puget/ssurgo_soils/SoilpH_0_30_puget.tif,raster,habitat:SoilPhShallow,measurement:Ranking,,EPSG:26910,EPSG:26910,Public,Yes,USDA-NRCS product,
,soil_pH_30_100_puget,soil_pH_30_100_puget,"SSURGO soil pH data, 30-100 cm depth ",file:/raid/geodata/coverages/puget/ssurgo_soils/SoilpH_30_100_puget.tif,raster,habitat:SoilPhDeep,measurement:Ranking,,EPSG:26910,EPSG:26910,Public,Yes,USDA-NRCS product,
,soil_texture_puget,soil_texture_puget,SSURGO soil texture data,file:/raid/geodata/coverages/puget/ssurgo_soils/SoilTexture.tif,raster,habitat:SoilTexture,measurement:Ranking,,EPSG:26910,EPSG:26910,Public,Yes,USDA-NRCS product,
,stream_gradient_puget,stream_gradient_puget,Derived from DNR hydrography and SRTM slope layers,file:/raid/geodata/coverages/puget/stream_gradient/pugetStreamGradient.tif,raster,habitat:StreamGradient,measurement:Measurement,°,EPSG:26910,EPSG:26910,Public,Yes,State agency data,
,successional_stage_puget,successional_stage_puget,Interagency Vegetation Mapping Project,file:/raid/geodata/coverages/puget/successional_stage/SuccessionWAOR4.tif,raster,ecology:SuccessionalStage,measurement:Ranking,,EPSG:26710,EPSG:26710,Public,Yes,BLM data,
,vegetation_height_puget,veg_ht_puget,Derived from Puget Sound LIDAR Consortium data,file:/raid/geodata/coverages/puget/vegetation_height/vegHt_Project.tif,raster,habitat:VegetationHeight,measurement:Measurement,ft,EPSG:4326,EPSG:4326,Public,Yes,Public domain,
,puget,,PostGIS database: puget,postgis:puget,,,,,,,,,,
,,beach_puget,Derived from NLCD 2001,postgis:/raid/geodata/data/puget/beaches/beachesPoly.shp,polygon,aestheticService:BeachPresence,measurement:BinaryCoding,,EPSG:2927,EPSG:2927,Public,Yes,Derived from USGS product,
,,bridges_puget,,postgis:/raid/geodata/data/puget/bridges/BridgeLines.shp,line,infrastructure:Bridge,measurement:BinaryCoding,,EPSG:2927,EPSG:2927,Public,Yes,State agency data,
,,chehalis_2dam_scenario,2 dam scenario on the Chehalis River; data from Earth Economics,postgis:/raid/geodata/data/puget/dams/reservoirs_2dam_scenario.shp,polygon,floodService:DamStorage,measurement:BinaryCoding,,EPSG:4269,EPSG:4269,Public,Yes,Generated by the ARIES Consortium,
,,cities_puget,"Potential Crime, derived from boundaries of big cities",postgis:/raid/geodata/data/puget/cities/place2.shp,polygon,geofeatures:City,observation:Categorization,,EPSG:2927,EPSG:2927,Public,Yes,State agency data,
,,clearcuts_puget,Washington State DNR,postgis:/raid/geodata/data/puget/clearcuts/fpa_active_Project4.shp,polygon,geofeatures:Clearcut,observation:Categorization,,EPSG:4326,EPSG:4326,Public,Yes,State agency data,
,,floodplain_puget,FEMA 100-year and 500-year floodplains,postgis:/raid/geodata/data/puget/floodplain/FloodplainsOnly_Dissolve.shp,polygon,geofeatures:Floodplain,observation:Categorization,,EPSG:4267,EPSG:4267,Public,Yes,State agency data,
,,formal_protection_puget,"Derived from national, state, and local public lands layers",postgis:/raid/geodata/data/puget/protected_land/AllProtectedLands_Dissolve2.shp,polygon,puget:ProtectedStatus,measurement:BinaryCoding,,EPSG:2926,EPSG:2926,Public,Yes,State agency data,
,,formal_protection_puget_ncse,Forestry management scenario for flood control in the Chehalis watershed,postgis:/raid/geodata/data/puget/protected_land/ProtectedLandNCSE2.shp,polygon,aestheticService:FormalProtection,measurement:BinaryCoding,,EPSG:2926,EPSG:2926,Public,Yes,Generated by the ARIES Consortium,
,,hydro_reservoir_us,"National Atlas of the United States, Major Dams of the United States",postgis:/raid/geodata/data/puget/dams/HydroReservoirs.shp,polygon,soilRetentionService:HydroelectricUseLevel,measurement:Measurement,m^3,EPSG:4269,EPSG:4269,Public,Yes,Federal agency data,
,,hydrography_wa,Washington DNR hydrography data,postgis:/raid/geodata/data/puget/streams/waStreams_Project.shp,line,geofeatures:River,measurement:BinaryCoding,,EPSG:26910,EPSG:26910,Public,Yes,State agency data,
,,lakes_puget,Derived from NLCD 2001,postgis:/raid/geodata/data/puget/lakes/lakes2.shp,polygon,geofeatures:Lake,measurement:BinaryCoding,,EPSG:2927,EPSG:2927,Public,Yes,Derived from USGS product,
